,Language,inventory,syntax,phonological,featural
0,eng,1.0,1.0,1.0,1.0
8,por,0.8607594936708861,0.8809519480519481,,0.8708557208614172
4,spa,0.7879746835443038,0.8679861386138614,0.92,0.8586536073860551
11,ind,0.8481012658227848,0.806666,0.92,0.8582557552742616
2,deu,0.8481012658227848,0.8850574712643678,0.84,0.8577195790290508
13,swe,0.7848101265822784,0.9291675,,0.8569888132911392
7,ita,0.8164556962025317,0.8852818181818182,,0.8508687571921749
9,nld,0.810126582278481,0.8873239436619719,,0.8487252629702264
1,rus,0.7784810126582279,0.8407411111111112,0.92,0.8464073745897797
15,fin,0.8006329113924051,0.785715306122449,0.92,0.8354494058382848
18,lav,,0.7763721518987342,0.88,0.8281860759493671
14,hun,0.8322784810126582,0.7179494505494506,0.88,0.8100759771873696
10,vie,0.8259493670886076,0.7921139784946236,0.8,0.8060211151944104
5,fra,0.8164556962025317,0.8367690721649484,0.76,0.8044082561224934
6,cmn,0.7637132911392405,0.7854627659574468,0.84,0.7963920190322291
16,hin,0.8016873417721518,0.7052853658536585,0.88,0.7956575692086035
20,cym,,0.7860074074074075,,0.7860074074074075
17,ben,0.8122386075949366,0.641026923076923,0.8863636363636364,0.779876389011832
21,swa,0.8291139240506329,0.5745094117647058,0.92,0.7745411119384462
19,urd,0.8037974683544304,0.7354507936507937,,0.7696241310026121
22,amh,0.8164556962025317,0.66875125,0.8125,0.7659023154008439
12,ara,0.8132911392405063,0.6921765306122449,0.76,0.7551558899509171
24,mri,0.759493670886076,0.736841052631579,0.6799999999999999,0.7254449078392183
3,jpn,0.7784810126582279,0.6740755555555555,0.7,0.7175188560712611
23,zul,0.7848101265822784,0.5593862068965518,0.6956521739130435,0.6799495024639578
